profileName,chart_name,login,tweets,following,followers,likes,comment,pic
Вера Брежнева,Віра Брєжнєва,VeraBrezhneva,5630,38,3530000,103,,https://pbs.twimg.com/profile_images/872195455291150341/5nKhGNLv_400x400.jpg
Svyatoslav Vakarchuk,Святослав Вакарчук,s_vakarchuk,4611,9,2120000,2,,https://pbs.twimg.com/profile_images/517608977929342976/oEPN0t2J_400x400.jpeg
янГоу,Ян Гордієнко,yan_gordienko,5345,111,1540000,1882,,https://pbs.twimg.com/profile_images/962875702407200768/ibbqSN3t_400x400.jpg
Настя Каменских,Настя Каменських,KAMEHCKUX,2346,9,1320000,15,,https://pbs.twimg.com/profile_images/853269063094738948/YITLOnUD_400x400.jpg
Петро Порошенко,Петро Порошенко,poroshenko,11700,28,1300000,17,,https://pbs.twimg.com/profile_images/622151044831776768/BQ5ifWI__400x400.png
Markus Hohner,Markus Hohner,awentos,48200,187,1280000,0,,https://pbs.twimg.com/profile_images/3673298033/2c5eb952273b0e94a13a20d49575434d_400x400.jpeg
Hromadske.UA,Hromadske.UA,HromadskeUA,117000,615,1030000,123,,https://pbs.twimg.com/profile_images/869600580213366785/dAv_8w2j_400x400.jpg
Українська правда ✌️,Українська правда,ukrpravda_news,590000,320,994000,375,,https://pbs.twimg.com/profile_images/2159143072/547592_417251241622875_114351485246187_1817938_227964652_n_400x400.jpg
ТСН.ua (канал 1+1),ТСН.ua (канал 1+1),tsnua,117000,8,908000,4,,https://pbs.twimg.com/profile_images/903724210610110467/76_B7kYp_400x400.jpg
Mustafa Nayyem,Мустафа Найєм,mefimus,12500,131,884000,368,,https://pbs.twimg.com/profile_images/2887650760/ff96b02aedb23919b40a4726d0cd13a3_400x400.jpeg
Maksim Chmerkovskiy,Максим Чмерковський,MaksimC,8131,53,714000,304,,https://pbs.twimg.com/profile_images/485291396971372544/ynT85JzR_400x400.jpeg
Arsen Avakov,Арсен Аваков,AvakovArsen,1800,244,640000,1672,,https://pbs.twimg.com/profile_images/378800000158109258/f3730ed67ffc2984fb4122c146667adf_400x400.jpeg
Типичный Киев,Типичный Киев,kievtypical,14000,317,618000,211,,https://pbs.twimg.com/profile_images/425957774434914304/g5NxvhHe_400x400.jpeg
Arseniy Yatsenyuk,Арсеній Яценюк,Yatsenyuk_AP,2303,55,615000,90,,https://pbs.twimg.com/profile_images/952853886867595264/2q9z0GU0_400x400.jpg
Виктор Медведчук,Віктор Медведчук,MedvedchukVV,5056,30,501000,449,,https://pbs.twimg.com/profile_images/889174019081109506/7o0oLhVY_400x400.jpg
