profileName,login,tweets,following,followers,likes,pic,comment,chart_name,group
Vitalii Okhrei,1FUTR,3492,59800,164000,1523,https://pbs.twimg.com/profile_images/562358713239891968/Netgq6Yc_400x400.jpeg,,Vitalii Okhrei,
5 канал,5channel,252000,364,475000,28,https://pbs.twimg.com/profile_images/378800000347986187/31782349a390ce40d5327248c5be6fff_400x400.png,,5 канал,media
7887temp9887,7887temp9887,1838,1,12000,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,,7887temp9887,
Анатолій Гриценко,agrytsenko,2820,78,251000,4,https://pbs.twimg.com/profile_images/840176021265633280/rDGLrZeD_400x400.jpg,,Анатолій Гриценко,politics
Сергей Аксёнов,aksenov_sv,3407,14,110000,1,https://pbs.twimg.com/profile_images/950994066824679424/WAh0soUf_400x400.jpg,,Сергей Аксёнов,politics
alex smirnov,alsmirnov,6613,21100,78000,6,https://pbs.twimg.com/profile_images/628307050/alsmirnov_400x400.jpg,,alex smirnov,
Sukhomlin Aleksandr,alsukhomlin,582,50,192000,145,https://pbs.twimg.com/profile_images/816275211536449537/1Hzsllwq_400x400.jpg,,Sukhomlin Aleksandr,
Тётя Роза,Anakoyher,8845,60,244000,14500,https://pbs.twimg.com/profile_images/990243803595464706/InKS4bEf_400x400.jpg,,Тётя Роза,
Анатолий Шарий,anatoliisharii,24700,135,338000,5984,https://pbs.twimg.com/profile_images/450709049428832256/VcXep4QY_400x400.jpeg,,Анатолий Шарий,politics
AndriyKoval,AndriyKoval,12100,71700,124000,3822,https://pbs.twimg.com/profile_images/854729735427043329/YGjiRt3r_400x400.jpg,,AndriyKoval,
Андрій Парубій,AndriyParubiy,1504,111,196000,44,https://pbs.twimg.com/profile_images/644413404195590144/1U6fpOwE_400x400.jpg,,Андрій Парубій,politics
Аndriy Mykhaylivskyy,AndyMTVUA,361,560,240000,871,https://pbs.twimg.com/profile_images/543825676386975744/WXIMSG8T_400x400.jpeg,,Андрій Михайлівський,
Анастасия Приходько,AnPrikhodko,5253,3,204000,15,https://pbs.twimg.com/profile_images/979046805848707073/hJFnuG9m_400x400.jpg,,Анастасія Приходько,star
APU,APUkraine,11400,416,118000,949,https://pbs.twimg.com/profile_images/836190619009679360/k6WWo9o8_400x400.jpg,,Адміністрація Президента,politics
Сергій Арбузов,arbuzovsergiy,436,11,4420,0,https://pbs.twimg.com/profile_images/496617270802542592/rMOSN8d4_400x400.jpeg,,Сергій Арбузов,politics
Andriy Shevchenko,AShevch,10000,96,161000,1282,https://pbs.twimg.com/profile_images/736946725676404736/buVDWY3r_400x400.jpg,,Андрій Шевченко,politics
Arsen Avakov,AvakovArsen,1811,244,641000,1720,https://pbs.twimg.com/profile_images/378800000158109258/f3730ed67ffc2984fb4122c146667adf_400x400.jpeg,,Арсен Аваков,politics
Markus Hohner,awentos,48500,185,1270000,0,https://pbs.twimg.com/profile_images/3673298033/2c5eb952273b0e94a13a20d49575434d_400x400.jpeg,,Markus Hohner,
BBC News Україна,BBC_ua,99100,522,343000,140,https://pbs.twimg.com/profile_images/969212873229656068/E3D5IdTW_400x400.jpg,,BBC News Україна,media
Зоологический ад,Bestiaroom,1543,148,6497,338,https://pbs.twimg.com/profile_images/431792242983198720/kNurKyUs_400x400.jpeg,rus,Зоологический ад,
Безбашенный,Bezbashenyu,12300,154,834000,1113,https://pbs.twimg.com/profile_images/921853759130603520/Tqeq1rS9_400x400.jpg,trash,Безбашенный,
Serhiy Pishkovtsiy,blogoreader,45000,1195,7784,2075,https://pbs.twimg.com/profile_images/634108933649489920/J1O_83a2_400x400.jpg,,Serhiy Pishkovtsiy,
Борис Филатов,borysfilatov,27,1,1164,0,https://pbs.twimg.com/profile_images/682533217845391360/zKrN3ZaK_400x400.png,,Борис Филатов,politics
Блок Петра Порошенка Солідарність,BPPSolidarnist,25500,44,55400,6,https://pbs.twimg.com/profile_images/597779937865662465/YTqbK2pE_400x400.png,,Блок Петра Порошенка Солідарність,politics
Олександр Бригинець,bryhynets,13600,96,63600,150,https://pbs.twimg.com/profile_images/904736885263790082/Ib6MVG1s_400x400.jpg,,Олександр Бригинець,politics
Цензор.НЕТ,censor_net,85400,526,104000,20,https://pbs.twimg.com/profile_images/378800000082843823/36d1c477fb3917cd73f073cd506b72cf_400x400.jpeg,,Цензор.НЕТ,media
Первый канал,channelone_rus,49500,128,3490000,13,https://pbs.twimg.com/profile_images/2754204902/e00701851d76edeb6272434fe7b81c7c_400x400.jpeg,rus,Первый канал,media
ЧЕСНО,chesno_movement,9188,1338,49200,328,https://pbs.twimg.com/profile_images/733258698592772097/pCNux2d1_400x400.jpg,,ЧЕСНО,media
КРЫМский бандеровец,CrimeaUA1,137000,337,52500,4815,https://pbs.twimg.com/profile_images/947236162858573824/ldVmSAAC_400x400.jpg,,КРЫМский бандеровец,politics
КРЫМский УКР,Crimea_Ukr,73300,329,23700,5426,https://pbs.twimg.com/profile_images/502910767952560128/OdmN3QOA_400x400.jpeg,,КРЫМский УКР,politics
Defence of Ukraine,DefenceU,6287,151,65100,6,https://pbs.twimg.com/profile_images/821260337152458752/md7W5Y_v_400x400.jpg,,Defence of Ukraine,politics
ДемАльянс,demalliance,13200,518,21400,292,https://pbs.twimg.com/profile_images/687946914227068932/SBPJdvX5_400x400.png,,ДемАльянс,politics
Danil Ishutin,DendiBoss,5290,354,475000,320,https://pbs.twimg.com/profile_images/1832816995/dendi_400x400.jpg,,Данило Ішутін,star
Денис Казанський,den_kazansky,5077,276,113000,1551,https://pbs.twimg.com/profile_images/493872059244482560/5d1NO75P_400x400.jpeg,,Денис Казанський,politics
Дмитрий Тымчук,DmitryTymchuk,2923,11,409000,3,https://pbs.twimg.com/profile_images/622075454187397120/KcddobpV_400x400.jpg,,Дмитро Тимчук,politics
Тупые гугл запросы,Drarelen,14500,73900,234000,61200,https://pbs.twimg.com/profile_images/665936086510739456/pAFwWNWQ_400x400.jpg,trash,Тупые гугл запросы,
Пьяный Твиттер,drunktwi,43700,48,3080000,1241,https://pbs.twimg.com/profile_images/834696883993968641/z033taAI_400x400.jpg,trash,Пьяный Твиттер,
Elina Svitolina,ElinaSvitolina,1581,96,69000,837,https://pbs.twimg.com/profile_images/859496646522089472/T18S2uZV_400x400.jpg,,Elina Svitolina,star
Еспресо,EspresoTV,143000,235,102000,361,https://pbs.twimg.com/profile_images/714781270891474945/mWkS3Y5F_400x400.jpg,,Еспресо,media
ЄВРОМАЙДАН,euromaidan,60900,1309,376000,651,https://pbs.twimg.com/profile_images/443093683617792001/qy9svMr4_400x400.png,,ЄВРОМАЙДАН,politics
ЄвроМайдан,EuroMaydan,50500,315,329000,131,https://pbs.twimg.com/profile_images/378800000773038568/01680b54d48ac3f5896d388b0126ca22_400x400.jpeg,,ЄвроМайдан,politics
Цитаты из фильмов,Film_quotes__,26300,39,1290000,5,https://pbs.twimg.com/profile_images/1813363194/images_400x400.jpg,trash,Цитаты из фильмов,
Фонд Сколково,fondskolkovo,24400,1748,1000000,316,https://pbs.twimg.com/profile_images/979306520847450112/kiYF5MZt_400x400.jpg,rus,Фонд Сколково,
Пессимист,friware,23800,61400,285000,77900,https://pbs.twimg.com/profile_images/916405007767007233/iYD7r5KA_400x400.jpg,trash,Пессимист,
Ацтойный Севас ����,fuckysebastopol,121000,564,26500,1407,https://pbs.twimg.com/profile_images/683682297531383808/6f3EPifq_400x400.png,,Ацтойный Севас,
События дня,GazetaRu,214000,10,2180000,0,https://pbs.twimg.com/profile_images/981773447100592128/fQwSPdhk_400x400.jpg,rus,События дня,media
Антон Геращенко,Gerashchenko7,1816,14,127000,7,https://pbs.twimg.com/profile_images/760969794032205824/VGRthvlk_400x400.jpg,,Антон Геращенко,politics
Голос Америки,GolosAmeriki,89900,370,204000,69,https://pbs.twimg.com/profile_images/954533050523713537/nd7kUaPo_400x400.jpg,,Голос Америки,media
Алкоголик,henianus,28200,66100,292000,68500,https://pbs.twimg.com/profile_images/937828125026799616/3NHk_DtM_400x400.jpg,trash,Алкоголик,
Hromadske.UA,HromadskeUA,118000,618,1040000,123,https://pbs.twimg.com/profile_images/869600580213366785/dAv_8w2j_400x400.jpg,,Hromadske.UA,media
Непогана Тетяна,ian_tanya,101000,398,13200,63900,https://pbs.twimg.com/profile_images/955102486796349441/dNglU4gO_400x400.jpg,,Непогана Тетяна,politics
Ігор Швайка,Ihor_Shvayka,1398,265,9653,197,https://pbs.twimg.com/profile_images/908976247916679168/-2GAhH-M_400x400.jpg,,Ігор Швайка,politics
Хэнк Муди [18+],im_hank_,29600,27,484000,7,https://pbs.twimg.com/profile_images/541346754960969728/3DipA_kx_400x400.jpeg,trash,Хэнк Муди [18+],
Социофоб,inmytrast,19000,40900,507000,17400,https://pbs.twimg.com/profile_images/736208299062788098/EdRl2XTT_400x400.jpg,trash,Социофоб,
Интерфакс-Украина,interfaxua,209000,155,80600,304,https://pbs.twimg.com/profile_images/1195769020/Untitled-1_400x400.gif,,Интерфакс-Украина,media
Прокажённый,jekzi,27900,106000,318000,108000,https://pbs.twimg.com/profile_images/653213292056285184/SVT2SLku_400x400.jpg,trash,Прокажённый,
Andriy Shevchenko,jksheva7,212,111,175000,31,https://pbs.twimg.com/profile_images/598858127623200768/r4AM3uDn_400x400.jpg,,Андрій Шевченко,star
Хроники Хунты,JuntaChronicles,2537,89,25300,1421,https://pbs.twimg.com/profile_images/560342547185565696/VgxdwTkK_400x400.jpeg,,Хроники Хунты,politics
Кабмін України,Kabmin_UA,48100,191,118000,239,https://pbs.twimg.com/profile_images/734765304581066753/lkIE8PnS_400x400.jpg,,Кабмін України,politics
Kamaliya Zahoor,kamaliya_zahoor,10400,467,365000,1447,https://pbs.twimg.com/profile_images/895534886827814912/doLbfkx__400x400.jpg,,Камалія Захур,star
Настя Каменских,KAMEHCKUX,2346,9,1320000,15,https://pbs.twimg.com/profile_images/853269063094738948/YITLOnUD_400x400.jpg,,Настя Каменських,star
Karina Smirnoff,Karina_Smirnoff,9857,6281,301000,538,https://pbs.twimg.com/profile_images/644238579787431936/ghgTUigN_400x400.jpg,,Karina Smirnoff,star
Львівський батяр,KarpenkoBatjar,45800,333,40800,264,https://pbs.twimg.com/profile_images/539985591056609281/KrEaMaDs_400x400.jpeg,,Львівський батяр,politics
Типичный Киев,kievtypical,14100,317,621000,211,https://pbs.twimg.com/profile_images/425957774434914304/g5NxvhHe_400x400.jpeg,,Типичный Киев,media
Klitschko,Klitschko,2223,119,434000,1719,https://pbs.twimg.com/profile_images/872496239258066946/4mbvQr9E_400x400.jpg,,Володимир Кличко,star
Фонд Б. Колесникова,kolesnikovfund,139,97,20,11,https://pbs.twimg.com/profile_images/515954433318854656/AiiUGLsZ_400x400.jpeg,rus,Фонд Б. Колесникова,politics
Korrespondent.net,Korrespondent,69800,826,393000,10,https://pbs.twimg.com/profile_images/1632121541/K-fb_180_copy_400x400.jpg,,Korrespondent.net,media
Президент России,KremlinRussia,8149,33,3760000,0,https://pbs.twimg.com/profile_images/501717390225203201/PTS0XF2N_400x400.png,rus,Президент России,politics
Kyiv Post,KyivPost,38300,840,192000,763,https://pbs.twimg.com/profile_images/833622521777946625/MqPTETnC_400x400.jpg,,Kyiv Post,media
В'ячеслав Кириленко,KyrylenkoVyach,4265,264,72600,15,https://pbs.twimg.com/profile_images/917340191614029824/2FYKtayp_400x400.jpg,,В'ячеслав Кириленко,politics
La Ferme,LaFermeRu,213,4411,0,0,https://pbs.twimg.com/profile_images/2390988883/lm3cfigubwqfs5g20w5y_400x400.jpeg,rus,La Ferme,
Лавка Рукоделия,lavkarukodeliya,15900,26,232000,214,https://pbs.twimg.com/profile_images/436217514536599552/qOwEyDvP_400x400.png,trash,Лавка Рукоделия,
Левый Берег LB.ua,lb_ua,43400,217,182000,12,https://pbs.twimg.com/profile_images/446957846475710464/JLkf9fGY_400x400.jpeg,,Левый Берег LB.ua,media
Leshchenko,Leshchenkos,6101,97,376000,784,https://pbs.twimg.com/profile_images/950317609446146049/QBNcZvgQ_400x400.jpg,,Сергій Лещенко,politics
Леся Оробець,LesyaOrobets,4596,495,218000,8,https://pbs.twimg.com/profile_images/457082800072441856/ViOHf36D_400x400.jpeg,,Леся Оробець,politics
ЛІГА.net,LIGAnet,48900,289,372000,49,https://pbs.twimg.com/profile_images/877854170862276609/tkXY8guM_400x400.jpg,,ЛІГА.net,media
Майдан Одесса,Maidan_info,672,130,6893,4,https://pbs.twimg.com/profile_images/422180248747139074/uADxDv1S_400x400.png,,Майдан Одесса,politics
Maksim Chmerkovskiy,MaksimC,8142,53,715000,304,https://pbs.twimg.com/profile_images/485291396971372544/ynT85JzR_400x400.jpeg,,Максим Чмерковський,star
Виктор Медведчук,MedvedchukVV,5070,30,499000,461,https://pbs.twimg.com/profile_images/889174019081109506/7o0oLhVY_400x400.jpg,,Віктор Медведчук,politics
Дмитрий Медведев,MedvedevRussia,1410,52,5470000,1,https://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_400x400.png,rus,Дмитрий Медведев,politics
Mustafa Nayyem,mefimus,12500,131,885000,368,https://pbs.twimg.com/profile_images/2887650760/ff96b02aedb23919b40a4726d0cd13a3_400x400.jpeg,,Мустафа Найєм,politics
Весёлый студент,meybec,18400,69300,258000,80300,https://pbs.twimg.com/profile_images/654788917380579330/GfLgHnRh_400x400.jpg,trash,Весёлый студент,
Майкл Щур,MichaelShchur,2398,52,234000,26,https://pbs.twimg.com/profile_images/378800000296343976/471e2ae85706b04c7f38424a1f3ba6bb_400x400.jpeg,,Майкл Щур,media
МИД России ����,MID_RF,48000,1306,1240000,16800,https://pbs.twimg.com/profile_images/979415506997383168/Ea36NgRu_400x400.jpg,rus,МИД России,politics
Max Levchin,mlevchin,2990,409,212000,259,https://pbs.twimg.com/profile_images/889896929315831809/MflDZmUJ_400x400.jpg,,Max Levchin,
mr. Milka,muff16792,51,6,345000,0,https://pbs.twimg.com/profile_images/435187231397904384/KM-aUjsF_400x400.png,,mr. Milka,
МВС України,MVS_UA,28300,155,118000,1127,https://pbs.twimg.com/profile_images/869155151919153152/pn7QrbDw_400x400.jpg,,МВС України,politics
Nataliya Mykolska,mykolska,4631,370,4289,3739,https://pbs.twimg.com/profile_images/975052196776697856/oNNeonGE_400x400.jpg,,Наталія Микольська,politics
